time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.000	0.912	0.002	76.600	2.876	68.971	2.608	0.000	0.000
0.002	0.912	0.002	76.599	2.867	69.017	2.599	0.000	0.000
0.004	0.912	0.002	76.599	2.859	69.063	2.591	0.000	0.000
0.006	0.912	0.002	76.598	2.850	69.109	2.583	0.000	0.000
0.008	0.912	0.002	76.597	2.842	69.155	2.576	0.000	0.000
0.010	0.912	0.002	76.599	2.832	69.214	2.564	0.000	0.000
0.012	0.912	0.002	76.607	2.818	69.335	2.536	0.000	0.000
0.014	0.912	0.002	76.613	2.802	69.467	2.506	0.000	0.000
0.015	0.912	0.002	76.618	2.787	69.599	2.480	0.000	0.000
0.017	0.912	0.002	76.624	2.772	69.732	2.458	0.000	0.000
0.019	0.912	0.002	76.617	2.763	69.881	2.425	0.000	0.000
0.021	0.912	0.002	76.593	2.760	70.042	2.387	0.000	0.000
0.023	0.912	0.002	76.567	2.760	70.199	2.353	0.000	0.000
0.025	0.912	0.002	76.543	2.760	70.355	2.321	0.000	0.000
0.027	0.912	0.002	76.518	2.761	70.511	2.292	0.000	0.000
0.029	0.912	0.002	76.520	2.750	70.648	2.268	0.000	0.000
0.031	0.912	0.002	76.553	2.747	70.768	2.229	0.000	0.000
0.033	0.912	0.002	76.595	2.738	70.880	2.195	0.000	0.000
0.035	0.912	0.002	76.644	2.730	70.989	2.161	0.000	0.000
0.037	0.912	0.002	76.710	2.723	71.093	2.130	0.000	0.000
0.039	0.912	0.002	76.810	2.695	71.160	2.121	0.000	0.000
0.041	0.912	0.002	76.911	2.664	71.212	2.099	0.000	0.000
0.043	0.912	0.002	77.013	2.635	71.255	2.083	0.000	0.000
0.044	0.912	0.002	77.118	2.606	71.287	2.069	0.000	0.000
0.046	0.912	0.002	77.211	2.578	71.300	2.060	0.000	0.000
0.048	0.912	0.002	77.281	2.551	71.296	2.071	0.000	0.000
0.050	0.912	0.002	77.334	2.512	71.294	2.071	0.000	0.000
0.052	0.912	0.002	77.377	2.483	71.289	2.077	0.000	0.000
0.054	0.912	0.002	77.406	2.457	71.279	2.087	0.000	0.000
0.056	0.912	0.002	77.441	2.438	71.280	2.101	0.000	0.000
0.058	0.912	0.002	77.505	2.424	71.303	2.115	0.000	0.000
0.060	0.912	0.002	77.595	2.439	71.331	2.144	0.000	0.000
0.062	0.912	0.002	77.707	2.449	71.370	2.172	0.000	0.000
0.064	0.912	0.002	77.852	2.451	71.430	2.191	0.000	0.000
0.066	0.912	0.002	78.152	2.406	71.601	2.153	0.000	0.000
0.068	0.912	0.002	78.572	2.441	71.860	2.165	0.000	0.000
0.070	0.912	0.002	79.080	2.588	72.175	2.251	0.000	0.000
0.071	0.912	0.002	79.663	2.754	72.540	2.347	0.000	0.000
0.073	0.912	0.002	80.334	2.957	72.975	2.449	0.000	0.000
0.075	0.912	0.002	81.280	3.130	73.612	2.511	0.000	0.000
0.077	0.912	0.002	82.334	3.477	74.341	2.723	0.000	0.000
0.079	0.912	0.002	83.477	3.936	75.153	3.038	0.000	0.000
0.081	0.912	0.002	84.688	4.416	76.022	3.382	0.000	0.000
0.083	0.912	0.002	85.968	4.912	76.975	3.742	0.000	0.000
0.085	0.912	0.002	87.329	5.395	78.032	4.079	0.000	0.000
0.087	0.912	0.002	88.734	5.845	79.140	4.419	0.000	0.000
0.089	0.912	0.002	90.134	6.294	80.268	4.792	0.000	0.000
0.091	0.912	0.002	91.529	6.748	81.401	5.176	0.000	0.000
0.093	0.912	0.002	92.823	7.153	82.503	5.535	0.000	0.000
0.095	0.912	0.002	93.973	7.493	83.534	5.862	0.000	0.000
0.097	0.912	0.002	95.051	7.713	84.545	6.097	0.000	0.000
0.099	0.912	0.002	96.096	7.849	85.540	6.289	0.000	0.000
0.100	0.912	0.002	97.092	7.969	86.496	6.463	0.000	0.000
0.102	0.912	0.002	97.853	8.042	87.282	6.598	0.000	0.000
0.104	0.912	0.002	98.527	8.098	87.978	6.709	0.000	0.000
0.106	0.912	0.002	99.101	8.070	88.587	6.743	0.000	0.000
0.108	0.912	0.002	99.672	7.961	89.184	6.705	0.000	0.000
0.110	0.912	0.002	100.233	7.811	89.753	6.630	0.000	0.000
0.112	0.912	0.002	100.697	7.652	90.198	6.538	0.000	0.000
0.114	0.912	0.002	101.083	7.491	90.581	6.443	0.000	0.000
0.116	0.912	0.002	101.418	7.342	90.916	6.345	0.000	0.000
0.118	0.912	0.002	101.728	7.145	91.220	6.196	0.000	0.000
0.120	0.912	0.002	102.031	6.909	91.519	6.021	0.000	0.000
0.122	0.912	0.002	102.313	6.693	91.783	5.861	0.000	0.000
0.124	0.912	0.002	102.558	6.484	92.028	5.718	0.000	0.000
0.126	0.912	0.002	102.756	6.294	92.221	5.588	0.000	0.000
0.128	0.912	0.002	102.918	6.112	92.374	5.467	0.000	0.000
0.129	0.912	0.002	103.065	5.955	92.517	5.360	0.000	0.000
0.131	0.912	0.002	103.173	5.823	92.664	5.271	0.000	0.000
0.133	0.912	0.002	103.266	5.720	92.813	5.204	0.000	0.000
0.135	0.912	0.002	103.316	5.628	92.940	5.151	0.000	0.000
0.137	0.912	0.002	103.316	5.569	93.061	5.124	0.000	0.000
0.139	0.912	0.002	103.271	5.539	93.183	5.118	0.000	0.000
0.141	0.912	0.002	103.230	5.523	93.314	5.118	0.000	0.000
0.143	0.912	0.002	103.181	5.524	93.454	5.129	0.000	0.000
0.145	0.912	0.002	103.134	5.535	93.594	5.149	0.000	0.000
0.147	0.912	0.002	103.068	5.544	93.731	5.184	0.000	0.000
0.149	0.912	0.002	102.967	5.534	93.854	5.225	0.000	0.000
0.151	0.912	0.002	102.889	5.525	93.974	5.271	0.000	0.000
0.153	0.912	0.002	102.824	5.524	94.099	5.310	0.000	0.000
0.155	0.912	0.002	102.777	5.528	94.223	5.348	0.000	0.000
0.157	0.912	0.002	102.780	5.545	94.347	5.392	0.000	0.000
0.158	0.912	0.002	102.826	5.565	94.480	5.443	0.000	0.000
0.160	0.912	0.002	102.873	5.587	94.619	5.495	0.000	0.000
0.162	0.912	0.002	102.944	5.616	94.758	5.546	0.000	0.000
0.164	0.912	0.002	103.018	5.646	94.901	5.596	0.000	0.000
0.166	0.912	0.002	103.102	5.676	95.050	5.638	0.000	0.000
0.168	0.912	0.002	103.197	5.705	95.201	5.678	0.000	0.000
0.170	0.912	0.002	103.312	5.737	95.352	5.717	0.000	0.000
0.172	0.912	0.002	103.432	5.766	95.513	5.761	0.000	0.000
0.174	0.912	0.002	103.558	5.795	95.672	5.805	0.000	0.000
0.176	0.912	0.002	103.690	5.832	95.826	5.851	0.000	0.000
0.178	0.912	0.002	103.819	5.870	95.978	5.897	0.000	0.000
0.180	0.912	0.002	103.952	5.910	96.132	5.944	0.000	0.000
0.182	0.912	0.002	104.089	5.961	96.285	5.991	0.000	0.000
0.184	0.912	0.002	104.225	6.022	96.427	6.039	0.000	0.000
0.185	0.912	0.002	104.363	6.083	96.563	6.082	0.000	0.000
0.187	0.912	0.002	104.497	6.144	96.703	6.126	0.000	0.000
0.189	0.912	0.002	104.633	6.206	96.844	6.170	0.000	0.000
0.191	0.912	0.002	104.776	6.271	96.981	6.215	0.000	0.000
0.193	0.912	0.002	104.915	6.329	97.113	6.261	0.000	0.000
0.195	0.912	0.002	105.048	6.387	97.239	6.310	0.000	0.000
0.197	0.912	0.002	105.181	6.445	97.360	6.360	0.000	0.000
0.199	0.912	0.002	105.317	6.504	97.484	6.410	0.000	0.000
0.201	0.912	0.002	105.460	6.572	97.617	6.467	0.000	0.000
0.203	0.912	0.002	105.623	6.643	97.751	6.527	0.000	0.000
0.205	0.912	0.002	105.799	6.714	97.884	6.584	0.000	0.000
0.207	0.912	0.002	105.994	6.783	98.024	6.641	0.000	0.000
0.209	0.912	0.002	106.185	6.851	98.167	6.700	0.000	0.000
0.211	0.912	0.002	106.383	6.922	98.320	6.769	0.000	0.000
0.213	0.912	0.002	106.588	6.992	98.486	6.843	0.000	0.000
0.214	0.912	0.002	106.795	7.063	98.662	6.919	0.000	0.000
0.216	0.912	0.002	107.000	7.134	98.836	6.997	0.000	0.000
0.218	0.912	0.002	107.208	7.210	99.010	7.076	0.000	0.000
0.220	0.912	0.002	107.408	7.282	99.182	7.153	0.000	0.000
0.222	0.912	0.002	107.614	7.356	99.364	7.228	0.000	0.000
0.224	0.912	0.002	107.819	7.435	99.560	7.307	0.000	0.000
0.226	0.912	0.002	108.028	7.514	99.765	7.387	0.000	0.000
0.228	0.912	0.002	108.243	7.595	99.975	7.471	0.000	0.000
0.230	0.912	0.002	108.462	7.680	100.183	7.550	0.000	0.000
0.232	0.912	0.002	108.684	7.763	100.396	7.627	0.000	0.000
0.234	0.912	0.002	108.908	7.841	100.609	7.701	0.000	0.000
0.236	0.912	0.002	109.114	7.913	100.819	7.775	0.000	0.000
0.238	0.912	0.002	109.319	7.977	101.028	7.847	0.000	0.000
0.240	0.912	0.002	109.531	8.041	101.244	7.920	0.000	0.000
0.242	0.912	0.002	109.747	8.103	101.465	7.991	0.000	0.000
0.243	0.912	0.002	109.959	8.163	101.682	8.057	0.000	0.000
0.245	0.912	0.002	110.170	8.226	101.878	8.113	0.000	0.000
0.247	0.912	0.002	110.372	8.284	102.076	8.167	0.000	0.000
0.249	0.912	0.002	110.570	8.340	102.275	8.223	0.000	0.000
0.251	0.912	0.002	110.768	8.397	102.469	8.278	0.000	0.000
0.253	0.912	0.002	110.969	8.451	102.653	8.333	0.000	0.000
0.255	0.912	0.002	111.165	8.502	102.833	8.388	0.000	0.000
0.257	0.912	0.002	111.337	8.532	103.000	8.434	0.000	0.000
0.259	0.912	0.002	111.491	8.563	103.150	8.479	0.000	0.000
0.261	0.912	0.002	111.646	8.596	103.301	8.526	0.000	0.000
0.263	0.912	0.002	111.805	8.635	103.464	8.578	0.000	0.000
0.265	0.912	0.002	111.974	8.672	103.628	8.627	0.000	0.000
0.267	0.912	0.002	112.147	8.709	103.781	8.669	0.000	0.000
0.269	0.912	0.002	112.319	8.744	103.935	8.710	0.000	0.000
0.270	0.912	0.002	112.480	8.775	104.084	8.750	0.000	0.000
0.272	0.912	0.002	112.641	8.799	104.225	8.787	0.000	0.000
0.274	0.912	0.002	112.798	8.824	104.373	8.823	0.000	0.000
0.276	0.912	0.002	112.960	8.855	104.527	8.862	0.000	0.000
0.278	0.912	0.002	113.130	8.888	104.680	8.900	0.000	0.000
0.280	0.912	0.002	113.300	8.918	104.828	8.934	0.000	0.000
0.282	0.912	0.002	113.456	8.949	104.972	8.971	0.000	0.000
0.284	0.912	0.002	113.599	8.980	105.106	9.011	0.000	0.000
0.286	0.912	0.002	113.741	9.012	105.240	9.051	0.000	0.000
0.288	0.912	0.002	113.869	9.041	105.369	9.087	0.000	0.000
0.290	0.912	0.002	113.980	9.070	105.489	9.122	0.000	0.000
0.292	0.912	0.002	114.090	9.099	105.609	9.157	0.000	0.000
0.294	0.912	0.002	114.179	9.121	105.711	9.186	0.000	0.000
0.296	0.912	0.002	114.245	9.133	105.801	9.213	0.000	0.000
0.298	0.912	0.002	114.305	9.143	105.888	9.239	0.000	0.000
0.299	0.912	0.002	114.358	9.156	105.964	9.267	0.000	0.000
0.301	0.912	0.002	114.405	9.168	106.036	9.290	0.000	0.000
0.303	0.912	0.002	114.454	9.177	106.101	9.304	0.000	0.000
0.305	0.912	0.002	114.480	9.179	106.143	9.307	0.000	0.000
0.307	0.912	0.002	114.490	9.180	106.169	9.308	0.000	0.000
0.309	0.912	0.002	114.487	9.185	106.183	9.310	0.000	0.000
0.311	0.912	0.002	114.470	9.182	106.182	9.306	0.000	0.000
0.313	0.912	0.002	114.434	9.178	106.158	9.300	0.000	0.000
0.315	0.912	0.002	114.370	9.164	106.107	9.285	0.000	0.000
0.317	0.912	0.002	114.274	9.159	106.027	9.277	0.000	0.000
0.319	0.912	0.002	114.157	9.156	105.931	9.271	0.000	0.000
0.321	0.912	0.002	114.005	9.141	105.812	9.258	0.000	0.000
0.323	0.912	0.002	113.793	9.120	105.652	9.236	0.000	0.000
0.325	0.912	0.002	113.544	9.106	105.466	9.217	0.000	0.000
0.327	0.912	0.002	113.228	9.115	105.230	9.217	0.000	0.000
0.328	0.912	0.002	112.884	9.124	104.973	9.216	0.000	0.000
0.330	0.912	0.002	112.505	9.133	104.686	9.213	0.000	0.000
0.332	0.912	0.002	112.037	9.140	104.310	9.203	0.000	0.000
0.334	0.912	0.002	111.550	9.146	103.902	9.208	0.000	0.000
0.336	0.912	0.002	111.047	9.152	103.461	9.232	0.000	0.000
0.338	0.912	0.002	110.494	9.155	102.974	9.253	0.000	0.000
0.340	0.912	0.002	109.948	9.155	102.463	9.284	0.000	0.000
0.342	0.912	0.002	109.341	9.135	101.877	9.312	0.000	0.000
