time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.000	0.876	0.009	63.215	1.792	51.275	1.616	0.000	0.000
0.002	0.876	0.009	63.209	1.787	51.311	1.630	0.000	0.000
0.003	0.876	0.009	63.204	1.783	51.347	1.644	0.000	0.000
0.005	0.876	0.009	63.198	1.779	51.384	1.659	0.000	0.000
0.006	0.876	0.009	63.193	1.776	51.420	1.674	0.000	0.000
0.008	0.876	0.009	63.187	1.772	51.456	1.690	0.000	0.000
0.010	0.876	0.009	63.183	1.768	51.495	1.707	0.000	0.000
0.011	0.876	0.009	63.192	1.763	51.622	1.767	0.000	0.000
0.013	0.876	0.009	63.201	1.760	51.760	1.842	0.000	0.000
0.014	0.876	0.009	63.212	1.758	51.895	1.923	0.000	0.000
0.016	0.876	0.009	63.223	1.757	52.028	2.011	0.000	0.000
0.018	0.876	0.009	63.233	1.756	52.161	2.106	0.000	0.000
0.019	0.876	0.009	63.245	1.758	52.301	2.212	0.000	0.000
0.021	0.876	0.009	63.292	1.787	52.552	2.403	0.000	0.000
0.022	0.876	0.009	63.351	1.820	52.837	2.622	0.000	0.000
0.024	0.876	0.009	63.412	1.853	53.130	2.841	0.000	0.000
0.026	0.876	0.009	63.473	1.888	53.423	3.069	0.000	0.000
0.027	0.876	0.009	63.535	1.924	53.716	3.304	0.000	0.000
0.029	0.876	0.009	63.603	1.968	54.019	3.553	0.000	0.000
0.030	0.876	0.009	63.708	2.049	54.412	3.862	0.000	0.000
0.032	0.876	0.009	63.836	2.149	54.828	4.201	0.000	0.000
0.034	0.876	0.009	63.970	2.245	55.262	4.523	0.000	0.000
0.035	0.876	0.009	64.107	2.344	55.702	4.842	0.000	0.000
0.037	0.876	0.009	64.244	2.445	56.141	5.166	0.000	0.000
0.038	0.876	0.009	64.403	2.560	56.582	5.498	0.000	0.000
0.040	0.876	0.009	64.648	2.740	57.083	5.818	0.000	0.000
0.042	0.876	0.009	64.946	2.975	57.577	6.127	0.000	0.000
0.043	0.876	0.009	65.243	3.215	58.072	6.438	0.000	0.000
0.045	0.876	0.009	65.551	3.448	58.578	6.744	0.000	0.000
0.046	0.876	0.009	65.862	3.680	59.079	7.057	0.000	0.000
0.048	0.876	0.009	66.196	3.936	59.575	7.370	0.000	0.000
0.050	0.876	0.009	66.602	4.243	60.100	7.677	0.000	0.000
0.051	0.876	0.009	67.056	4.595	60.650	8.006	0.000	0.000
0.053	0.876	0.009	67.513	4.954	61.205	8.343	0.000	0.000
0.054	0.876	0.009	67.973	5.312	61.764	8.680	0.000	0.000
0.056	0.876	0.009	68.437	5.670	62.331	9.015	0.000	0.000
0.058	0.876	0.009	68.917	6.052	62.899	9.354	0.000	0.000
0.059	0.876	0.009	69.467	6.451	63.482	9.648	0.000	0.000
0.061	0.876	0.009	70.091	6.913	64.040	9.917	0.000	0.000
0.062	0.876	0.009	70.729	7.392	64.583	10.175	0.000	0.000
0.064	0.876	0.009	71.366	7.874	65.129	10.433	0.000	0.000
0.066	0.876	0.009	72.006	8.356	65.683	10.684	0.000	0.000
0.067	0.876	0.009	72.692	8.893	66.230	10.927	0.000	0.000
0.069	0.876	0.009	73.456	9.471	66.790	11.149	0.000	0.000
0.070	0.876	0.009	74.308	10.131	67.350	11.372	0.000	0.000
0.072	0.876	0.009	75.197	10.828	67.929	11.613	0.000	0.000
0.074	0.876	0.009	76.091	11.520	68.522	11.834	0.000	0.000
0.075	0.877	0.009	76.986	12.206	69.121	12.044	0.000	0.000
0.077	0.877	0.009	77.877	12.830	69.686	12.230	0.000	0.000
0.078	0.877	0.009	78.853	13.439	70.243	12.396	0.000	0.000
0.080	0.877	0.009	79.794	14.008	70.761	12.528	0.000	0.000
0.082	0.876	0.009	80.686	14.537	71.232	12.612	0.000	0.000
0.083	0.876	0.009	81.582	15.062	71.734	12.647	0.000	0.000
0.085	0.876	0.009	82.462	15.569	72.232	12.679	0.000	0.000
0.086	0.876	0.009	83.258	15.974	72.709	12.694	0.000	0.000
0.088	0.876	0.009	84.066	16.268	73.151	12.687	0.000	0.000
0.090	0.876	0.009	84.750	16.446	73.560	12.657	0.000	0.000
0.091	0.877	0.009	85.322	16.515	73.946	12.602	0.000	0.000
0.093	0.877	0.009	85.896	16.564	74.337	12.536	0.000	0.000
0.094	0.877	0.009	86.461	16.616	74.726	12.478	0.000	0.000
0.096	0.877	0.009	87.005	16.662	75.113	12.423	0.000	0.000
0.098	0.877	0.009	87.519	16.608	75.454	12.357	0.000	0.000
0.099	0.877	0.009	87.977	16.495	75.770	12.282	0.000	0.000
0.101	0.877	0.009	88.403	16.363	76.091	12.207	0.000	0.000
0.102	0.876	0.009	88.821	16.241	76.415	12.133	0.000	0.000
0.104	0.876	0.009	89.233	16.136	76.740	12.066	0.000	0.000
0.106	0.876	0.009	89.634	16.050	77.067	12.007	0.000	0.000
0.107	0.876	0.009	89.999	15.866	77.368	11.934	0.000	0.000
0.109	0.876	0.009	90.325	15.686	77.666	11.861	0.000	0.000
0.110	0.876	0.009	90.649	15.486	77.957	11.799	0.000	0.000
0.112	0.876	0.009	90.966	15.296	78.249	11.742	0.000	0.000
0.114	0.876	0.009	91.283	15.125	78.539	11.688	0.000	0.000
0.115	0.876	0.009	91.600	14.974	78.829	11.638	0.000	0.000
0.117	0.876	0.009	91.849	14.785	79.096	11.589	0.000	0.000
0.118	0.876	0.009	92.088	14.568	79.362	11.546	0.000	0.000
0.120	0.876	0.009	92.313	14.281	79.617	11.505	0.000	0.000
0.122	0.876	0.009	92.523	13.989	79.880	11.433	0.000	0.000
0.123	0.876	0.009	92.736	13.721	80.137	11.358	0.000	0.000
0.125	0.876	0.009	92.950	13.476	80.391	11.284	0.000	0.000
0.126	0.876	0.009	93.071	13.231	80.628	11.216	0.000	0.000
0.128	0.876	0.009	93.208	12.943	80.857	11.138	0.000	0.000
0.130	0.876	0.009	93.358	12.642	81.075	11.051	0.000	0.000
0.131	0.876	0.009	93.500	12.363	81.287	10.962	0.000	0.000
0.133	0.876	0.009	93.654	12.115	81.497	10.876	0.000	0.000
0.135	0.876	0.009	93.815	11.885	81.723	10.745	0.000	0.000
0.136	0.876	0.009	93.937	11.669	81.934	10.601	0.000	0.000
0.138	0.876	0.009	94.023	11.496	82.121	10.471	0.000	0.000
0.139	0.876	0.009	94.113	11.344	82.308	10.344	0.000	0.000
0.141	0.876	0.009	94.216	11.217	82.493	10.219	0.000	0.000
0.143	0.876	0.009	94.317	11.108	82.672	10.094	0.000	0.000
0.144	0.876	0.009	94.418	11.019	82.850	9.970	0.000	0.000
0.146	0.876	0.009	94.485	10.948	83.016	9.850	0.000	0.000
0.147	0.876	0.009	94.493	10.876	83.167	9.724	0.000	0.000
0.149	0.876	0.009	94.505	10.797	83.321	9.582	0.000	0.000
0.151	0.876	0.009	94.518	10.721	83.472	9.439	0.000	0.000
0.152	0.876	0.009	94.521	10.645	83.606	9.291	0.000	0.000
0.154	0.876	0.009	94.516	10.570	83.731	9.142	0.000	0.000
0.155	0.876	0.009	94.476	10.484	83.839	8.993	0.000	0.000
0.157	0.876	0.009	94.422	10.396	83.941	8.845	0.000	0.000
0.159	0.876	0.009	94.377	10.312	84.043	8.697	0.000	0.000
0.160	0.876	0.009	94.342	10.221	84.146	8.547	0.000	0.000
0.162	0.876	0.009	94.317	10.102	84.261	8.390	0.000	0.000
0.163	0.876	0.009	94.287	9.984	84.371	8.232	0.000	0.000
0.165	0.876	0.009	94.267	9.874	84.490	8.081	0.000	0.000
0.167	0.876	0.009	94.259	9.771	84.611	7.932	0.000	0.000
0.168	0.876	0.009	94.257	9.673	84.733	7.785	0.000	0.000
0.170	0.877	0.009	94.263	9.579	84.859	7.639	0.000	0.000
0.171	0.877	0.009	94.297	9.498	84.989	7.496	0.000	0.000
0.173	0.877	0.009	94.326	9.418	85.115	7.355	0.000	0.000
0.175	0.877	0.009	94.366	9.298	85.215	7.220	0.000	0.000
0.176	0.877	0.009	94.403	9.174	85.310	7.084	0.000	0.000
0.178	0.877	0.009	94.434	9.049	85.403	6.947	0.000	0.000
0.179	0.877	0.009	94.456	8.923	85.494	6.809	0.000	0.000
0.181	0.876	0.009	94.466	8.794	85.583	6.671	0.000	0.000
0.183	0.876	0.009	94.468	8.667	85.666	6.535	0.000	0.000
0.184	0.877	0.009	94.486	8.544	85.747	6.401	0.000	0.000
0.186	0.877	0.009	94.520	8.425	85.832	6.270	0.000	0.000
0.187	0.877	0.009	94.578	8.241	85.920	6.142	0.000	0.000
0.189	0.877	0.009	94.648	8.007	86.002	6.010	0.000	0.000
0.191	0.877	0.009	94.710	7.773	86.077	5.874	0.000	0.000
0.192	0.877	0.009	94.786	7.536	86.143	5.741	0.000	0.000
0.194	0.876	0.009	94.883	7.298	86.209	5.609	0.000	0.000
0.195	0.876	0.009	94.993	7.060	86.276	5.480	0.000	0.000
0.197	0.876	0.009	95.109	6.826	86.347	5.356	0.000	0.000
0.199	0.876	0.009	95.233	6.597	86.414	5.233	0.000	0.000
0.200	0.876	0.009	95.365	6.352	86.479	5.109	0.000	0.000
0.202	0.876	0.009	95.513	6.052	86.547	4.980	0.000	0.000
0.203	0.876	0.009	95.661	5.752	86.628	4.865	0.000	0.000
0.205	0.876	0.009	95.806	5.455	86.717	4.762	0.000	0.000
0.207	0.876	0.009	95.940	5.163	86.820	4.677	0.000	0.000
0.208	0.877	0.009	96.071	4.884	86.929	4.601	0.000	0.000
0.210	0.877	0.009	96.205	4.611	87.040	4.533	0.000	0.000
0.211	0.877	0.009	96.349	4.350	87.158	4.475	0.000	0.000
0.213	0.876	0.009	96.468	4.109	87.286	4.444	0.000	0.000
0.215	0.876	0.009	96.561	3.928	87.405	4.465	0.000	0.000
0.216	0.876	0.009	96.656	3.770	87.535	4.516	0.000	0.000
0.218	0.876	0.009	96.754	3.629	87.662	4.581	0.000	0.000
0.219	0.876	0.009	96.865	3.491	87.785	4.658	0.000	0.000
0.221	0.876	0.009	96.976	3.370	87.918	4.747	0.000	0.000
0.223	0.876	0.009	97.086	3.284	88.080	4.888	0.000	0.000
0.224	0.876	0.009	97.195	3.229	88.251	5.055	0.000	0.000
0.226	0.876	0.009	97.307	3.207	88.419	5.228	0.000	0.000
0.227	0.876	0.009	97.382	3.221	88.592	5.411	0.000	0.000
0.229	0.876	0.009	97.437	3.254	88.772	5.598	0.000	0.000
0.231	0.876	0.009	97.493	3.293	88.969	5.797	0.000	0.000
0.232	0.876	0.009	97.560	3.303	89.183	5.992	0.000	0.000
0.234	0.876	0.009	97.631	3.302	89.399	6.185	0.000	0.000
0.235	0.876	0.009	97.701	3.301	89.598	6.352	0.000	0.000
0.237	0.876	0.009	97.779	3.312	89.803	6.518	0.000	0.000
0.239	0.876	0.009	97.861	3.327	90.017	6.684	0.000	0.000
0.240	0.876	0.009	97.936	3.340	90.234	6.859	0.000	0.000
0.242	0.876	0.008	98.008	3.362	90.463	7.029	0.000	0.000
0.243	0.876	0.008	98.086	3.392	90.695	7.192	0.000	0.000
0.245	0.876	0.008	98.166	3.426	90.940	7.377	0.000	0.000
0.247	0.876	0.008	98.235	3.470	91.199	7.554	0.000	0.000
0.248	0.876	0.008	98.307	3.513	91.457	7.733	0.000	0.000
0.250	0.876	0.008	98.381	3.553	91.714	7.914	0.000	0.000
0.251	0.876	0.008	98.423	3.589	91.972	8.059	0.000	0.000
0.253	0.876	0.008	98.454	3.626	92.237	8.194	0.000	0.000
0.255	0.876	0.008	98.466	3.650	92.493	8.308	0.000	0.000
0.256	0.876	0.008	98.472	3.666	92.771	8.396	0.000	0.000
