time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.000	0.818	0.003	77.003	0.874	63.309	0.778	0.000	0.000
0.002	0.818	0.003	76.991	0.853	63.349	0.772	0.000	0.000
0.004	0.818	0.003	76.980	0.834	63.390	0.769	0.000	0.000
0.006	0.818	0.003	76.968	0.818	63.431	0.770	0.000	0.000
0.008	0.818	0.003	76.956	0.805	63.472	0.774	0.000	0.000
0.011	0.818	0.003	76.954	0.794	63.548	0.783	0.000	0.000
0.013	0.818	0.003	76.978	0.776	63.740	0.802	0.000	0.000
0.015	0.818	0.003	77.002	0.760	63.933	0.840	0.000	0.000
0.017	0.818	0.003	77.026	0.746	64.125	0.895	0.000	0.000
0.019	0.818	0.003	77.051	0.736	64.318	0.964	0.000	0.000
0.021	0.818	0.003	77.070	0.741	64.566	1.025	0.000	0.000
0.023	0.818	0.003	77.075	0.754	64.870	1.083	0.000	0.000
0.025	0.818	0.003	77.079	0.769	65.174	1.154	0.000	0.000
0.028	0.818	0.003	77.084	0.785	65.478	1.238	0.000	0.000
0.030	0.818	0.003	77.090	0.799	65.789	1.321	0.000	0.000
0.032	0.818	0.003	77.118	0.796	66.108	1.335	0.000	0.000
0.034	0.818	0.003	77.150	0.794	66.402	1.311	0.000	0.000
0.036	0.818	0.003	77.183	0.795	66.695	1.291	0.000	0.000
0.038	0.818	0.003	77.216	0.799	66.989	1.274	0.000	0.000
0.040	0.818	0.003	77.259	0.809	67.280	1.244	0.000	0.000
0.042	0.818	0.003	77.348	0.791	67.523	1.200	0.000	0.000
0.044	0.818	0.003	77.455	0.769	67.755	1.149	0.000	0.000
0.047	0.818	0.003	77.561	0.753	67.988	1.101	0.000	0.000
0.049	0.818	0.003	77.670	0.745	68.222	1.053	0.000	0.000
0.051	0.818	0.003	77.763	0.742	68.447	1.013	0.000	0.000
0.053	0.818	0.003	77.821	0.740	68.645	0.977	0.000	0.000
0.055	0.818	0.003	77.869	0.743	68.838	0.940	0.000	0.000
0.057	0.818	0.003	77.916	0.749	69.029	0.909	0.000	0.000
0.059	0.818	0.003	77.963	0.756	69.211	0.886	0.000	0.000
0.061	0.818	0.003	78.001	0.752	69.379	0.874	0.000	0.000
