time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.000	0.549	0.007	80.931	3.537	23.864	3.318	0.000	0.000
0.002	0.549	0.007	80.850	3.493	23.913	3.349	0.000	0.000
0.003	0.549	0.007	80.770	3.451	23.962	3.379	0.000	0.000
0.005	0.549	0.007	80.690	3.413	24.011	3.411	0.000	0.000
0.006	0.549	0.007	80.610	3.378	24.061	3.442	0.000	0.000
0.008	0.549	0.007	80.530	3.346	24.110	3.475	0.000	0.000
0.009	0.549	0.007	80.450	3.318	24.159	3.507	0.000	0.000
0.011	0.549	0.007	80.357	3.290	24.214	3.536	0.000	0.000
0.013	0.549	0.007	80.255	3.268	24.273	3.564	0.000	0.000
0.014	0.549	0.007	80.154	3.252	24.332	3.592	0.000	0.000
0.016	0.549	0.007	80.052	3.239	24.393	3.631	0.000	0.000
0.017	0.549	0.007	79.953	3.226	24.465	3.707	0.000	0.000
0.019	0.549	0.007	79.853	3.219	24.536	3.784	0.000	0.000
0.020	0.549	0.007	79.759	3.219	24.611	3.863	0.000	0.000
0.022	0.549	0.007	79.672	3.216	24.697	3.945	0.000	0.000
0.024	0.549	0.007	79.590	3.209	24.782	4.027	0.000	0.000
0.025	0.549	0.007	79.507	3.204	24.867	4.110	0.000	0.000
0.027	0.549	0.008	79.425	3.201	24.952	4.193	0.000	0.000
0.028	0.549	0.008	79.343	3.200	25.038	4.278	0.000	0.000
0.030	0.549	0.008	79.248	3.190	25.119	4.362	0.000	0.000
0.032	0.549	0.008	79.160	3.166	25.204	4.468	0.000	0.000
0.033	0.549	0.008	79.078	3.132	25.299	4.601	0.000	0.000
0.035	0.549	0.007	78.997	3.099	25.395	4.733	0.000	0.000
0.036	0.549	0.007	78.915	3.068	25.491	4.867	0.000	0.000
0.038	0.549	0.007	78.834	3.038	25.587	5.001	0.000	0.000
0.039	0.549	0.007	78.732	3.002	25.706	5.130	0.000	0.000
0.041	0.549	0.007	78.613	2.958	25.838	5.256	0.000	0.000
0.043	0.549	0.008	78.498	2.917	25.967	5.381	0.000	0.000
0.044	0.549	0.008	78.384	2.877	26.095	5.508	0.000	0.000
0.046	0.549	0.008	78.270	2.841	26.222	5.635	0.000	0.000
0.047	0.549	0.008	78.158	2.806	26.345	5.744	0.000	0.000
0.049	0.549	0.008	78.054	2.772	26.466	5.842	0.000	0.000
0.050	0.549	0.008	77.964	2.743	26.589	5.938	0.000	0.000
0.052	0.549	0.008	77.873	2.713	26.710	6.036	0.000	0.000
0.054	0.549	0.008	77.780	2.688	26.832	6.133	0.000	0.000
0.055	0.550	0.008	77.684	2.670	26.956	6.229	0.000	0.000
0.057	0.550	0.008	77.589	2.655	27.081	6.326	0.000	0.000
0.058	0.550	0.008	77.493	2.636	27.199	6.425	0.000	0.000
0.060	0.550	0.008	77.402	2.613	27.319	6.523	0.000	0.000
0.061	0.550	0.008	77.315	2.593	27.447	6.620	0.000	0.000
0.063	0.550	0.008	77.233	2.570	27.573	6.697	0.000	0.000
0.065	0.550	0.008	77.153	2.550	27.696	6.772	0.000	0.000
0.066	0.550	0.008	77.074	2.535	27.817	6.848	0.000	0.000
0.068	0.550	0.008	76.996	2.528	27.939	6.923	0.000	0.000
0.069	0.550	0.008	76.911	2.531	28.061	6.997	0.000	0.000
0.071	0.550	0.008	76.819	2.540	28.178	7.072	0.000	0.000
0.073	0.550	0.008	76.727	2.554	28.297	7.146	0.000	0.000
0.074	0.550	0.008	76.634	2.575	28.415	7.220	0.000	0.000
0.076	0.550	0.007	76.547	2.590	28.533	7.294	0.000	0.000
0.077	0.550	0.007	76.467	2.615	28.658	7.368	0.000	0.000
0.079	0.550	0.007	76.412	2.677	28.795	7.460	0.000	0.000
0.080	0.550	0.008	76.356	2.752	28.930	7.554	0.000	0.000
0.082	0.550	0.008	76.300	2.836	29.072	7.646	0.000	0.000
0.084	0.550	0.008	76.246	2.934	29.214	7.738	0.000	0.000
0.085	0.550	0.008	76.191	3.042	29.356	7.831	0.000	0.000
0.087	0.550	0.008	76.136	3.161	29.500	7.924	0.000	0.000
0.088	0.549	0.008	76.085	3.279	29.658	8.013	0.000	0.000
0.090	0.549	0.008	76.034	3.406	29.820	8.098	0.000	0.000
0.091	0.549	0.008	75.983	3.541	29.978	8.182	0.000	0.000
0.093	0.549	0.008	75.938	3.698	30.129	8.261	0.000	0.000
0.095	0.549	0.008	75.904	3.895	30.277	8.328	0.000	0.000
0.096	0.549	0.008	75.867	4.101	30.426	8.394	0.000	0.000
0.098	0.549	0.008	75.825	4.311	30.566	8.457	0.000	0.000
0.099	0.549	0.008	75.780	4.524	30.706	8.515	0.000	0.000
0.101	0.549	0.008	75.731	4.747	30.837	8.575	0.000	0.000
0.102	0.549	0.008	75.685	4.976	30.964	8.636	0.000	0.000
0.104	0.549	0.008	75.642	5.207	31.087	8.697	0.000	0.000
0.106	0.549	0.008	75.598	5.443	31.215	8.756	0.000	0.000
0.107	0.549	0.008	75.551	5.686	31.344	8.815	0.000	0.000
0.109	0.549	0.008	75.496	5.891	31.464	8.857	0.000	0.000
0.110	0.549	0.008	75.435	6.059	31.581	8.885	0.000	0.000
0.112	0.549	0.008	75.370	6.229	31.699	8.913	0.000	0.000
0.114	0.549	0.008	75.302	6.400	31.815	8.943	0.000	0.000
0.115	0.549	0.008	75.236	6.572	31.930	8.972	0.000	0.000
0.117	0.549	0.008	75.159	6.749	32.039	9.005	0.000	0.000
0.118	0.549	0.008	75.087	6.925	32.135	9.044	0.000	0.000
0.120	0.549	0.008	75.013	7.102	32.228	9.084	0.000	0.000
0.121	0.549	0.008	74.939	7.278	32.319	9.125	0.000	0.000
0.123	0.549	0.008	74.863	7.455	32.409	9.167	0.000	0.000
0.125	0.549	0.008	74.767	7.544	32.491	9.190	0.000	0.000
0.126	0.549	0.008	74.654	7.600	32.557	9.207	0.000	0.000
0.128	0.549	0.008	74.539	7.657	32.623	9.224	0.000	0.000
0.129	0.549	0.008	74.420	7.714	32.687	9.243	0.000	0.000
0.131	0.549	0.008	74.304	7.769	32.744	9.264	0.000	0.000
0.132	0.549	0.008	74.189	7.824	32.799	9.286	0.000	0.000
0.134	0.549	0.008	74.074	7.879	32.862	9.307	0.000	0.000
0.136	0.549	0.008	73.956	7.931	32.916	9.329	0.000	0.000
0.137	0.549	0.008	73.840	7.982	32.963	9.353	0.000	0.000
0.139	0.549	0.008	73.722	8.034	33.005	9.379	0.000	0.000
0.140	0.549	0.008	73.602	8.072	33.045	9.401	0.000	0.000
0.142	0.549	0.008	73.483	8.109	33.084	9.424	0.000	0.000
0.143	0.549	0.008	73.364	8.145	33.115	9.448	0.000	0.000
0.145	0.549	0.008	73.251	8.179	33.139	9.473	0.000	0.000
0.147	0.549	0.008	73.138	8.213	33.162	9.498	0.000	0.000
0.148	0.549	0.008	73.026	8.246	33.187	9.523	0.000	0.000
0.150	0.549	0.008	72.916	8.279	33.211	9.547	0.000	0.000
0.151	0.549	0.008	72.808	8.312	33.235	9.571	0.000	0.000
0.153	0.549	0.008	72.696	8.345	33.251	9.596	0.000	0.000
0.154	0.549	0.008	72.589	8.378	33.261	9.619	0.000	0.000
0.156	0.549	0.008	72.488	8.415	33.265	9.629	0.000	0.000
0.158	0.549	0.008	72.393	8.451	33.269	9.640	0.000	0.000
0.159	0.549	0.008	72.299	8.487	33.272	9.651	0.000	0.000
0.161	0.549	0.008	72.210	8.521	33.275	9.661	0.000	0.000
0.162	0.549	0.008	72.121	8.554	33.274	9.672	0.000	0.000
0.164	0.549	0.008	72.034	8.587	33.266	9.684	0.000	0.000
0.166	0.549	0.008	71.947	8.621	33.252	9.697	0.000	0.000
0.167	0.549	0.008	71.863	8.655	33.230	9.713	0.000	0.000
0.169	0.549	0.008	71.779	8.690	33.206	9.730	0.000	0.000
0.170	0.549	0.008	71.693	8.709	33.184	9.744	0.000	0.000
0.172	0.549	0.008	71.603	8.702	33.160	9.754	0.000	0.000
0.173	0.549	0.008	71.518	8.695	33.133	9.764	0.000	0.000
0.175	0.549	0.008	71.434	8.686	33.101	9.776	0.000	0.000
0.177	0.549	0.008	71.345	8.679	33.069	9.788	0.000	0.000
0.178	0.549	0.008	71.257	8.672	33.039	9.798	0.000	0.000
0.180	0.549	0.008	71.169	8.666	33.010	9.809	0.000	0.000
0.181	0.549	0.008	71.085	8.658	32.981	9.819	0.000	0.000
0.183	0.549	0.008	71.008	8.649	32.961	9.827	0.000	0.000
0.184	0.549	0.008	70.938	8.637	32.952	9.833	0.000	0.000
0.186	0.549	0.008	70.864	8.612	32.947	9.831	0.000	0.000
0.188	0.549	0.008	70.790	8.579	32.940	9.827	0.000	0.000
0.189	0.549	0.008	70.716	8.546	32.931	9.822	0.000	0.000
0.191	0.549	0.008	70.641	8.513	32.921	9.819	0.000	0.000
0.192	0.549	0.008	70.571	8.479	32.915	9.814	0.000	0.000
0.194	0.549	0.008	70.510	8.442	32.920	9.807	0.000	0.000
0.195	0.549	0.008	70.447	8.405	32.926	9.800	0.000	0.000
0.197	0.549	0.008	70.383	8.367	32.932	9.793	0.000	0.000
0.199	0.549	0.008	70.322	8.330	32.939	9.786	0.000	0.000
0.200	0.549	0.008	70.261	8.293	32.951	9.779	0.000	0.000
0.202	0.549	0.008	70.206	8.271	32.965	9.771	0.000	0.000
0.203	0.549	0.008	70.154	8.252	32.985	9.762	0.000	0.000
0.205	0.549	0.008	70.105	8.232	33.003	9.753	0.000	0.000
0.207	0.549	0.008	70.057	8.211	33.019	9.744	0.000	0.000
0.208	0.549	0.008	70.011	8.191	33.035	9.736	0.000	0.000
0.210	0.549	0.008	69.965	8.170	33.051	9.727	0.000	0.000
0.211	0.549	0.008	69.920	8.150	33.066	9.719	0.000	0.000
0.213	0.549	0.008	69.873	8.133	33.082	9.711	0.000	0.000
0.214	0.549	0.008	69.826	8.116	33.097	9.702	0.000	0.000
0.216	0.549	0.008	69.783	8.099	33.114	9.693	0.000	0.000
0.218	0.549	0.008	69.750	8.106	33.135	9.698	0.000	0.000
0.219	0.549	0.008	69.718	8.114	33.156	9.703	0.000	0.000
