Position on the Arterial Tree,Frequency(Rad/s),QTA(m^3/s),PI
1,7.853981634,0.000125494,4.7978392272
2,7.853981634,0.0001254668,4.7813431179
3,7.853981634,0.0001254279,4.772462905
4,7.853981634,0.000125424,4.7542730305
5,7.853981634,0.0001254477,4.7414181368
6,7.853981634,0.0001052048,4.0017195037
7,7.853981634,0.0001051408,3.933774488
8,7.853981634,0.000105056,3.8779317697
9,7.853981634,0.0001049866,3.8404892052
10,7.853981634,0.0001049428,3.7982609806
11,7.853981634,1.356655E-005,9.9214612411
12,7.853981634,1.3501505375E-005,9.1989742292
13,7.853981634,1.344491375E-005,8.4492918372
14,7.853981634,1.33784775E-005,7.7437810095
15,7.853981634,1.33198225E-005,7.1997956429
16,7.853981634,7.27857625E-006,7.2816438517
17,7.853981634,7.2623625E-006,7.0500474191
18,7.853981634,7.2469125E-006,6.8304950557
19,7.853981634,0.000007235,6.6620364131
20,7.853981634,7.22379625E-006,6.5062743153
21,7.853981634,6.035858475E-006,8.7841688501
22,7.853981634,5.9753375E-006,7.0255445822
23,7.853981634,5.9182625E-006,5.5421671479
24,7.853981634,5.8713375E-006,4.3935474668
25,7.853981634,5.842725E-006,3.735243401
26,7.853981634,1.27114625E-006,3.8584859925
27,7.853981634,1.2815E-006,3.4506437768
28,7.853981634,1.2632125E-006,3.105574082
29,7.853981634,1.273925E-006,2.756049218
30,7.853981634,1.255575E-006,2.3335921789
31,7.853981634,5.9483625E-006,7.6491639506
32,7.853981634,5.84991875E-006,6.2325651959
33,7.853981634,5.7772425E-006,5.0941257875
34,7.853981634,5.70374E-006,3.9482865629
35,7.853981634,5.646225E-006,3.12739928
36,7.853981634,2.7665125E-006,3.1971661071
37,7.853981634,2.7542625E-006,2.8047435566
38,7.853981634,2.74175E-006,2.4655785538
39,7.853981634,0.000002729,2.0740197875
40,7.853981634,2.7165E-006,1.7412111172
41,7.853981634,2.8790625E-006,3.0471724737
42,7.853981634,2.8756375E-006,2.9447383406
43,7.853981634,2.871575E-006,2.8419943759
44,7.853981634,2.8681625E-006,2.7275302567
45,7.853981634,2.8644625E-006,2.613055678
46,7.853981634,1.7979578475E-007,9.5385995972
47,7.853981634,1.78777875E-007,8.9384662392
48,7.853981634,1.7789875E-007,8.4430047991
49,7.853981634,1.7664625E-007,7.9763934983
50,7.853981634,1.75825E-007,7.5017773354
51,7.853981634,2.684875E-006,2.1639741143
52,7.853981634,2.67725E-006,1.9273508264
53,7.853981634,2.67025E-006,1.7039603033
54,7.853981634,2.662375E-006,1.5099300437
55,7.853981634,2.655875E-006,1.3818421424
56,7.853981634,4.419125E-006,3.2087800187
57,7.853981634,4.39875E-006,2.7462347258
58,7.853981634,4.38075E-006,2.3260857159
59,7.853981634,4.363375E-006,1.8013578938
60,7.853981634,4.347375E-006,1.3755427126
61,7.853981634,1.42470875E-006,5.6250093221
62,7.853981634,1.421075E-006,5.2629171578
63,7.853981634,1.41788E-006,4.8777047423
64,7.853981634,1.41462625E-006,4.6118188461
65,7.853981634,1.41139825E-006,4.3610228368
66,7.853981634,9.93506375E-005,3.6668108949
67,7.853981634,0.000099237,3.5965402534
68,7.853981634,9.915625E-005,3.5178821305
69,7.853981634,9.906308125E-005,3.4425539333
70,7.853981634,9.89666625E-005,3.3783800681
71,7.853981634,5.60065325E-006,8.1133392788
72,7.853981634,5.533325E-006,6.6108533296
73,7.853981634,5.480625E-006,5.2402782529
74,7.853981634,5.4301125E-006,4.1395090802
75,7.853981634,5.400375E-006,3.4997569613
76,7.853981634,3.985875E-006,2.9102769154
77,7.853981634,3.967875E-006,2.3866679268
78,7.853981634,3.951625E-006,1.8954227691
79,7.853981634,3.9345E-006,1.3114754098
80,7.853981634,3.91925E-006,0.9568157173
81,7.853981634,1.416829375E-006,5.1876394785
82,7.853981634,1.4138375E-006,4.9517713316
83,7.853981634,1.411602775E-006,4.7258337247
84,7.853981634,1.40893853E-006,4.4926854261
85,7.853981634,1.40641125E-006,4.2520279897
86,7.853981634,9.170125E-005,3.1035563855
87,7.853981634,9.15525E-005,3.0135714481
88,7.853981634,0.000091465,2.9563220904
89,7.853981634,0.000091375,2.9045143639
90,7.853981634,0.000091235,2.8618403025
91,7.853981634,7.27583375E-006,7.0507383432
92,7.853981634,0.000007261,6.8448343536
